19424001,Nguyễn Thái,Nam,30124001
19424002,Lê Tuấn,Nam,30124002
19424003,Bùi Xuân,Nu,30124003
19424004,Nguyễn Kim,Nam,30124004
19424005,Lý Gia,Nam,30124005
19424006,Nguyễn Gia,Nam,30124006
19424007,Trần Minh,Nam,30124007
19424008,Dương Dủ,Nam,30124008
19424009,Lê Quốc,Nam,30124009
19424010,Nguyễn Chí,Nam,30124010
19424011,Trần Minh,Nam,30124011
19424012,Nguyễn Ngọc,Nu,30124012
19424013,Hà Thị Mỹ,Nu,30124013
19424014,Phan Huy,Nu,30124014
19424015,Trần Quang,Nu,30124015
19424016,Lê Đức,Nu,30124016
19424017,Nguyễn Minh,Nu,30124017
19424018,Võ Minh,Nu,30124019
19424019,Hoàng Đình Sơn,Nu,30124019
19424020,Vũ Phương Hoài,Nu,30124020
19424021,Nguyễn Huy,Nu,30124021
19424022,Hà Tiến,Nam,30124022
19424023,Huỳnh Văn,Nam,30124023
19424024,Trương Châu,Nam,30124024
19424025,Trần Hoàng,Nam,30124025
19424026,Nguyễn Xuân,Nam,30124026
19424027,Lê Mạnh,Nam,30124027
19424028,Vũ Mạnh,Nu,30124028
19424029,Đặng Thị Như,Nu,30124029
19424030,Thái Quang,Nu,30124030
19424031,Trần Quốc,Nu,30124031
19424039,Võ Lê Bảo,Nu,30124032
19424040,Huỳnh Anh,Nu,30124033
 
