20424081,Nguyễn Thái,Nam,30124081
20424082,Lê Tuấn,Nam,30124082
20424083,Bùi Xuân,Nu,30124083
20424084,Nguyễn Kim,Nam,30124084
20424085,Lý Gia,Nam,30124085
20424086,Nguyễn Gia,Nam,30124086
20424087,Trần Minh,Nam,30124087
20424088,Dương Dủ,Nam,30124088
20424089,Lê Quốc,Nam,30124089
20424090,Nguyễn Chí,Nam,30124090
20424091,Trần Minh,Nam,30124091
20424092,Nguyễn Ngọc,Nu,30124092
20424093,Hà Thị Mỹ,Nu,30124093
20424094,Phan Huy,Nu,30124094
20424095,Trần Quang,Nu,30124095
20424096,Lê Đức,Nu,30124096
20424097,Nguyễn Minh,Nu,30124097
20424098,Võ Minh,Nu,30124098
20424099,Hoàng Đình Sơn,Nu,30124099
20424100,Vũ Phương Hoài,Nu,30124100
20424101,Nguyễn Huy,Nu,30124101
20424102,Hà Tiến,Nam,30124102
20424103,Huỳnh Văn,Nam,30124103
20424104,Trương Châu,Nam,30124104
20424105,Trần Hoàng,Nam,30124105
20424106,Nguyễn Xuân,Nam,30124106
20424107,Lê Mạnh,Nam,30124107
20424108,Vũ Mạnh,Nu,30124108
20424109,Đặng Thị Như,Nu,30124109
20424110,Thái Quang,Nu,30124110
20424111,Trần Quốc,Nu,30124111
20424112,Võ Lê Bảo,Nu,30124112
20424113,Huỳnh Anh,Nu,30124113
20424114,Bùi Đăng,Nu,30124114

